RANK NEW,WORD,IPA,ENGLISH,FREQUENCY,DP RANK,EXAMPLE SENTENCE,,,,,,,,,,RANK NEW
1526,คำนึง,kʰam nɯŋ,ponder; consider; contemplate,2980,69,พรรคการเมืองทุกพรรคประกาศว่าพรรคจะคำนึงถึงแต่ประโยชน์ส่วนรวมก่อน,,,,,,,,,,1526
1527,กลางคืน,klaːŋ kʰɯːn,night; nighttime,1855,81,ช่วงเวลาสัมนาเราก็แยกจากกันแต่พอกลางคืนเราก็มารวมกลุ่มร่วมกิจกรรมบันเทิงกัน,,,,,,,,,,1527
1528,ปฏิบัติการ,pà tìʔ bàt kaːn,to take action; act; operate,2775,71,ตำรวจออกปฏิบัติการโดยทันที หลังจากรับคำสั่ง,,,,,,,,,,1528
1529,เพื่อนบ้าน,pʰɯ̂ːan bâːn,neighbor,1385,85,รอบๆ ถิ่นที่อยู่ของข้าพเจ้า นอกจากไร่สวนของเพื่อนบ้านแล้ว ยังมีสุสานของชาวจีนอยู่อีกแห่งหนึ่ง,,,,,,,,,,1529
1530,ก้อน,kɔ̂ːn,lump,2235,77,กลุ่มคนงานที่พากันมาประท้วงมีการปาก้อนหินใส่เจ้าหน้าที่ตำรวจ,,,,,,,,,,1530
1531,หมายเลข,mǎːj lêːk,number,1739,82,นายเฉลิมพันธ์แอบสั่งหัวคะแนนหาเสียงให้หมายเลขของเขาเพียงคนเดียว,,,,,,,,,,1531
1532,ใช้งาน,tɕʰáj ŋaːn,be usable; be accessible,1961,79,"ปริมาณน้ำที่ใช้งานได้ในเขื่อนทั้งสองมีจำนวน 5,240 ล้านลูกบาศก์เมตร",,,,,,,,,,1532
1533,หลักสูตร,làk sùːt,course; syllabus; curriculum,2550,73,ในปี 2517 ไทยเริ่มปฏิรูปการศึกษา มีการเปลี่ยนหลักสูตร เพื่อให้เด็กเรียน เพื่อการกระทำจริงมากขึ้น,,,,,,,,,,1533
1534,นิด,nít,little,3995,58,น้องของเขามีตาเล็กนิดนึง เรียกว่าเป็นขีดเดียวเท่านั้น,,,,,,,,,,1534
1535,ถอด,tʰɔ̀ːt,remove,1761,81,การลบข้อมูลแต่ละครั้งจะต้องถอดชิปออกจากแผงวงจร แล้วนำไปฉายด้วยแสงอุลตราไวโอเล็ต,,,,,,,,,,1535
1536,เกี่ยว,kìːaw,hook; reap; be concerned with,1300,86,มันใช้ปลายหางของมันเกี่ยวเป็นตะขอหรือดึงอะไรๆ ได้คล้ายมือเวลามันไต่ไปมา,,,,,,,,,,1536
1537,ผู้บริโภค,pʰûː bɔ̀ʔ ríʔ pʰôːk,consumer,2133,77,ผู้บริโภคเรียกร้องให้ลดราคาสินค้าลง,,,,,,,,,,1537
1538,ขวด,kʰùːat,bottle,1884,80,การให้นมทารกควรจะใช้ท่าอุ้มมากกว่าให้ทารกนอนดูดขวดนมอยู่บนที่นอน,,,,,,,,,,1538
1539,ค่ำ,kʰâm,evening; night,2022,78,มหาชนชาวไทยประกอบพิธีถวายราชสดุดีในค่ำวันที่ 3 กรกฎาคม ณ ท้องสนามหลวง,,,,,,,,,,1539
1540,จัดทำ,tɕàt tʰam,make; do,4006,57,ขณะนี้มีหลายหน่วยงานเข้าไปดำเนินการศึกษาและจัดทำแบบปฎิบัติการอนุรักษ์ความหลากหลายทางชีวภาพแล้ว,,,,,,,,,,1540
1541,ฟ้อง,fɔ́ːŋ,sue,2790,70,ผลงานที่ผ่านมาในรอบปีฟ้องให้เห็นถึงประสิทธิภาพการทำงานของกรมตำรวจที่ตกต่ำลง,,,,,,,,,,1541
1542,เท่าไหร่,tʰâw ràj,how much,2914,69,ฉันต้องชดใช้ค่าเสียหายเป็นเงินเท่าไหร่,,,,,,,,,,1542
1543,ภูมิภาค,pʰuː míʔ pʰâːk,region; area,2996,68,ปัจจุบันมีการรวมกลุ่มทางเศรษฐกิจในภูมิภาคต่างๆ ของโลก,,,,,,,,,,1543
1544,ผู้แทน,pʰûː tʰɛːn,delegate; representative,3240,65,นายชวน หลีกภัยลงสมัครรับเลือกตั้งผู้แทนราษฎรที่จังหวัดตรัง,,,,,,,,,,1544
1545,การลงทุน,kaːn loŋ tʰun,investment,3141,66,การลงทุนครั้งนี้ของเขาคุ้มค่ากว่าที่คาดไว้หลายเท่า,,,,,,,,,,1545
1546,พึง,pʰɯŋ,ought,2669,71,พวกเราทุกคนพึงเห็นใจผู้ที่ป่วยเป็นโรคเอดส์มากกว่าที่จะรังเกียจ,,,,,,,,,,1546
1547,นิทาน,níʔ tʰaːn,story; fable,2485,73,นิทานเรื่องบ้านเราแสนจน เป็นเรื่องเล่าที่ให้แง่คิดดีมาก,,,,,,,,,,1547
1548,เตรียมตัว,triːam tuːa,prepare; get ready,1261,86,ข้าพเจ้าพร้อมด้วยน้องชายของเธอเตรียมตัวเดินทางไปยังสถานที่เกิดอุบัติเหตุ,,,,,,,,,,1548
1549,แสดงออก,sà dɛːŋ ʔɔ̀ːk,express; demonstrate; exhibit,3115,67,บรรพบุรุษของไทยได้สร้างผลงานทางประติมากรรมขึ้นเพื่อแสดงออกถึงจิตนาการ ความรู้สึกและความเชื่อ,,,,,,,,,,1549
1550,อนุรักษ์,ʔà núʔ rák,conserve; preserve,2128,77,ประเทศไทยกับลาวทำความตกลงร่วมกันในการแสวงประโยชน์และอนุรักษ์ปลาบึกในลำน้ำโขง,,,,,,,,,,1550
1551,การเลือกตั้ง,kaːn lɯ̂ːak tâŋ,election,3710,60,ระหว่างปี 2510 ถึงปี 2532 การเลือกตั้งของอินเดียมีการโกงคะแนนเสียงเลือกตั้งมากขึ้น,,,,,,,,,,1551
1552,ทูต,tʰûːt,ambassador; diplomat,1351,85,ประเทศไทยส่งทูตไปเจริญสัมพันธไมตรีกับต่างประเทศ,,,,,,,,,,1552
1553,ทราย,saːj,sand,2698,71,พื้นโลกส่วนที่เป็นของแข็งประกอบไปด้วยกรวด หิน ดิน ทราย,,,,,,,,,,1553
1554,เสรี,sěː riː,free; freedom,2640,72,นับวันการแข่งขันภายใต้ระบบการค้าเสรีจะทวีความรุนแรงมาก,,,,,,,,,,1554
1555,ก่อสร้าง,kɔ̀ː sâːŋ,construct,2579,72,บริษัทดอนเมืองโทลเวย์จะเริ่มก่อสร้างทางด่วนในเดือนหน้า,,,,,,,,,,1555
1556,ทิศทาง,tʰít tʰaːŋ,direction,2976,68,รถหุ่นยนต์จะเคลื่อนที่ในเส้นทาง ตามทิศทางของขดลวดทองแดง,,,,,,,,,,1556
1557,กันและกัน,kan lɛ́ʔ kan,each other,2204,76,การขยายเครือข่ายระหว่างบริษัทสาขาจะมีผลกระทบต่อกันและกัน,,,,,,,,,,1557
1558,ลิ้น,lín,tongue; value,1667,82,กนกหัวขวานมีลิ้นที่ยาวเหนียวมาก ใช้ในการจับตัวบุ้ง ตัวหนอนและแมลง,,,,,,,,,,1558
1559,ความขัดแย้ง,kʰwaːm kʰàt jɛ́ːŋ,conflict; opposition; disagreement,3098,67,ประเทศอภิมหาอำนาจจะพยายามแก้ไขปัญหาความขัดแย้งระหว่างยิวและอาหรับ,,,,,,,,,,1559
1560,อร่อย,ʔà rɔ̀ːj,delicious,2687,71,อาหารไทยที่รู้จักกันอย่างแพร่หลายว่ามีรสอร่อยเป็นสัญลักษณ์ของคนไทยได้แก่ น้ำพริกปลาทู แกงเผ็ด ต้มยำกุ้ง หมี่กรอบ และห่อหมก,,,,,,,,,,1560
1561,เสมือน,sà mɯ̌ːan,likewise; similarly,1674,82,ระบบปฏิบัติการเป็นระบบซอฟต์แวร์ของคอมพิวเตอร์ ที่ทำหน้าที่เสมือนแม่บ้านของระบบคอมพิวเตอร์ และทำหน้าที่ในการติดต่อสื่อสาร,,,,,,,,,,1561
1562,สิ่งของ,sìŋ kʰɔ̌ːŋ,thing; article; matter,1483,84,กรมประชาสงเคราะห์รับบริจาคหนังสือ สิ่งของ ให้เด็กนักเรียนในชนบทที่ขาดแคลนอุปกรณ์การเรียน,,,,,,,,,,1562
1563,บัตร,bàt,card,2989,68,ธนาคารได้ออกบัตรเอทีเอ็มให้กับสามีภรรยาคู่นี้คนละใบ,,,,,,,,,,1563
1564,ชำนาญ,tɕʰam naːn,skillfully; proficiently,1348,85,เขาปักหลักอยู่นานเข้าจนชำนาญพื้นที่,,,,,,,,,,1564
1565,ปฏิรูป,pà tìʔ rûːp,reform,2694,71,รัฐบาลพยายามปฏิรูปการเมืองให้เป็นประชาธิปไตยมากขึ้น,,,,,,,,,,1565
1566,หลักเกณฑ์,làk keːn,principles; standard,4294,53,บุคคลทั้งสองเห็นพ้องกันว่า พล.อ.เทียนชัยแบ่งงานอย่างเผด็จการและไม่มีหลักเกณฑ์,,,,,,,,,,1566
1567,ประธานาธิบดี,pràʔ tʰaː naː tʰíp bɔː diː,president,3246,65,ประธานาธิบดีถูกลอบสังหารโดยกลุ่มผู้ปฏิวัติ,,,,,,,,,,1567
1568,นอกเหนือ,nɔ̂ːk nɯ̌ːa,beyond,1924,79,ปรากฏการณ์นี้อยู่นอกเหนือธรรมชาติ,,,,,,,,,,1568
1569,นับว่า,náp wâː,"count as, regard as",2140,77,การขนส่งโดยทางรถไฟนับว่าเป็นที่นิยมกันทั่วไปทั้งนี้เพราะเป็นพาหนะที่สามารถบรรทุกของได้ครั้งละมากๆ,,,,,,,,,,1569
1570,ลูกจ้าง,lûːk tɕâːŋ,employee,4475,51,การชุมนุมเรียกร้องนั้นเป็นเรื่องของนายจ้างกับลูกจ้าง,,,,,,,,,,1570
1571,ทุ่ง,tʰûŋ,field; farm; meadow,1520,83,เมื่อวานเกิดไฟไหม้ที่ทุ่งท้ายซอย รถดับเพลิงหลายคันต้องมาดับอยู่นาน,,,,,,,,,,1571
1572,พร,pʰɔːn,blessing,2883,68,ประเพณีสงกรานต์นั้นแต่เดิมก็คงมาจากการไล่ผีและขอพรสิ่งศักดิ์สิทธิ์เพื่อคุ้มครองในเวลาที่มีอันตราย,,,,,,,,,,1572
1573,รำ,ram,dance,1400,85,โรคเหน็บชาเกิดจากการรับประทานข้าวที่ขัดจนหมดรำ,,,,,,,,,,1573
1574,จัก,tɕàk,will; shall,1722,81,เด็กๆ ควรรีบขวนขวายศึกษาจักได้มีความฉลาดรอบรู้,,,,,,,,,,1574
1575,หมุน,mǔn,evolve; revolve; circulate,1943,79,แม่ค้าหมุนไม้เสียบไปมา เพื่อให้ตัวแพะที่ย่างถูกความร้อนเท่าๆ กัน,,,,,,,,,,1575
1576,วันหยุด,wan jùt,holiday; vacation,1449,84,โรงแรมนี้คนเยอะมากโดยเฉพาะช่วงวันหยุดสุดสัปดาห์และปลายเดือน,,,,,,,,,,1576
1577,ท่อ,tʰɔ̂ː,pipe; hose; ditch,2661,71,การสำลักในระยะแรกคลอด เกิดจากความผิดปกติของหลอดลมที่มีท่อต่อกับหลอดอาหาร,,,,,,,,,,1577
1578,ข้างต้น,kʰâːŋ tôn,above; above mentioned,3387,63,สิ่งที่กล่าวข้างต้นต้องนำไปปฏิบัติจึงจะสามารถได้ผลสำเร็จตามต้องการ,,,,,,,,,,1578
1579,ความพยายาม,kʰwaːm pʰá jaː jaːm,effort,1982,78,ความพยายามอยู่ที่ไหนความสำเร็จอยู่ที่นั่น,,,,,,,,,,1579
1580,ห่อ,hɔ̀ː,wrap; package; envelope,1575,83,สิ่งของที่จะส่งทางไปรษณีย์ต้องห่อให้เรียบร้อย,,,,,,,,,,1580
1581,เฉลี่ย,tɕʰà lìːa,average,2424,73,ทุกคนเฉลี่ยกันเพื่อจ่ายค่าอาหาร,,,,,,,,,,1581
1582,มูลค่า,muːn kʰâː,value; price; value,3017,67,"เฉพาะปี 2533 เพียงปีเดียว สินค้าที่ลักลอบส่งเข้าไปในจีนมีมูลค่าถึง 2,000 ล้านดอลลาร์ หรือราว 52,000 ล้านบาท",,,,,,,,,,1582
1583,เข้าถึง,kʰâw tʰɯ̌ŋ,reach,1829,80,คนพวกนี้เข้าถึงพระผู้เป็นเจ้าได้ง่าย เพราะมีจิตศรัทธามากเหลือเกิน,,,,,,,,,,1583
1584,รองเท้า,rɔːŋ tʰáːw,shoes,2464,73,เครื่องแบบที่ถูกต้องเป็นรองเท้าสีดำ ชนิดผูกเชือกแบบสุภาพ ถุงเท้าสั้นสีขาว,,,,,,,,,,1584
1585,นาฬิกา,naː líʔ kaː,clock,2524,72,งานจะเริ่มเวลา 19.00 นาฬิกา ให้ทุกคนมาพร้อมกันที่ห้องจัดเลี้ยง,,,,,,,,,,1585
1586,แจก,tɕɛ̀ːk,distribute; give out,1572,83,โรงเรียนแจกรางวัลแก่นักเรียนที่เรียนดีและนักเรียนที่มีความสามารถในด้านต่างๆ,,,,,,,,,,1586
1587,ดารา,daː raː,star,1854,79,ดาราท่านนี้มีความสามารถมากทีเดียว,,,,,,,,,,1587
1588,ย้อน,jɔ́ːn,return; come back,1648,82,เขาย้อนพ่อแม่อยู่บ่อยๆ เหมือนเห็นพ่อแม่เป็นเพื่อนเล่น,,,,,,,,,,1588
1589,ปลอม,plɔːm,false,1375,85,สุชาติโดนจับเพราะปลอมลายเซ็นต์เช็คของเจ้านายเป็นจำนวนเงินถึง 2 ล้านบาท,,,,,,,,,,1589
1590,ชาน,tɕʰaːn,porch; platform,816,91,เด็กๆ ปูผ้าห่มนอนกันบนชานบ้านชมท้องฟ้าที่กลาดเกลื่อนไปด้วยดวงดาวในคืนเดือนมืด,,,,,,,,,,1590
1591,นั่นแหละ,nân lɛ̀ʔ,that's right; exactly like that,3442,62,ต้นไม้นั่นแหละที่คุณตาปลูกไว้ขาย,,,,,,,,,,1591
1592,ศักดิ์สิทธิ์,sàk sìt,holy; sacred,1246,86,สุเหร่านั้นเป็นสุเหร่าศักดิ์สิทธิ์ของชาวมุสลิมในอินเดีย สร้างขึ้นมาตั้งแต่สมัยคริสต์,,,,,,,,,,1592
1593,ศึก,sɯ̀k,battle; fight,3404,62,การเปิดศึกชิงทำเนียบขาวจะเริ่มขึ้นในเดือนพฤศจิกายน ศกหน้า,,,,,,,,,,1593
1594,บรรเลง,ban leːŋ,play; produce music,874,90,วงดนตรีเริ่มบรรเลงเพลงตอน 2 ทุ่มพอดี,,,,,,,,,,1594
1595,ตาราง,taː raːŋ,table,3651,59,เราสามารถดูรายการสินค้าต่างๆ ที่มีอยู่ในร้านได้จากตารางนี้,,,,,,,,,,1595
1596,ยืม,jɯːm,borrow,1212,86,คำไทยของเราบางคำต้องยืมภาษาอื่นมาใช้ โดยเฉพาะภาษาบาลีและสันสกฤต,,,,,,,,,,1596
1597,มั่นใจ,mân tɕaj,confident,2605,71,เขาตอบออกไปอย่างมั่นใจในเหตุผลของตัวเอง,,,,,,,,,,1597
1598,อัด,ʔàt,compress; press; record; copy,1186,87,ค่ายเพลงติดต่อนักดนตรีไทยคณะที่มีฝีมือดีไปบรรเลงอัดแผ่นเสียงออกจำหน่าย,,,,,,,,,,1598
1599,น่ารัก,nâː rák,cute,3080,65,หน้าตาลูกสาวคนแรกน่ารักมากจนคุณตาคุณยายหลง,,,,,,,,,,1599
1600,มรดก,mɔː rá dòk,heritage; legacy,1389,84,คุณยายยกมรดกทั้งหมดให้แก่ลูกสาวคนเล็ก,,,,,,,,,,1600
1601,ต้อนรับ,tɔ̂ːn ráp,welcome; receive; greet,1782,80,ชาวลาวต้อนรับนายกรัฐมนตรีของไทยที่ไปเยือนอย่างเป็นทางการเป็นอย่างดี,,,,,,,,,,1601
1602,อพยพ,ʔòp pʰá jóp,emigrate; move; evacuate,1799,80,คนจีนแต่ครั้งรัชกาลที่3 อพยพเข้ามาในไทย โดยรับจ้างเป็นแรงงานและมีอาชีพเป็นพ่อค้า,,,,,,,,,,1602
1603,โน้ต,nóːt,note,5709,35,โน้ตดนตรีของเพลงไทยเพลงนี้ฟังดูคล้ายเพลงสากล,,,,,,,,,,1603
1604,มีเสียง,miː sǐːaŋ,have a voice,2015,77,ในการเลือกตั้งครั้งนี้ผู้มีเสียงเลือกตั้งไปใช้สิทธิ์ไม่ถึง 50 %,,,,,,,,,,1604
1605,กว้างขวาง,kwâːŋ kʰwǎːŋ,"extensive, broad, vast",2372,73,เขากว้างขวางมากในแถบนี้ ใครๆ ก็รู้จัก,,,,,,,,,,1605
1606,ค้าง,kʰáːŋ,"be due to, be behind; stay overnight",2269,74,เด็กเริ่มเรียนกฎเกณฑ์ตรรกวิทยาของเรื่องกาลเวลา สถานที่ สาเหตุและผลลัพธ์ที่ค้างเอาไว้,,,,,,,,,,1606
1607,เบื้องต้น,bɯ̂ːaŋ tôn,fundamental; at the beginning,2284,74,ก่อนที่จะไหลเข้าสู่ไคลแมกซ์ของเรื่อง ลองมาดูข้อมูลเบื้องต้นกันก่อน,,,,,,,,,,1607
1608,ที่รัก,tʰîː rák,darling; honey; dear,1717,80,ความใจกว้างของเขาทำให้เขาเป็นที่รักของเพื่อนฝูง,,,,,,,,,,1608
1609,แดน,dɛːn,land; area; border,1552,82,เขาล้ำเข้าไปในแดนข้าศึก,,,,,,,,,,1609
1610,ประทับใจ,pràʔ tʰáp tɕaj,impressed,1588,82,ผู้ชมประทับใจในความสามารถการเล่นเปียโนของเขามาก,,,,,,,,,,1610
1611,ป้าย,pâːj,label; sign,2034,77,พอดีเห็นรถเมล์ปรับอากาศแล่นมาจอดที่ป้าย ผมจึงไม่ยืนรีรออีกต่อไปสำหรับการเดินทางให้ถึงจุดหมาย,,,,,,,,,,1611
1612,ความเป็นจริง,kʰwaːm pen tɕiŋ,reality,2745,69,นักแสดงถ่ายทอดความเป็นจริงในเรื่องนี้ได้ทั้งหมดอย่างสมจริง,,,,,,,,,,1612
1613,นอกจากนั้น,nɔ̂ːk tɕàːk nán,besides that; apart from that,2850,67,ยามถูกตัดเงินเดือนนอกจากนั้นเขายังจะถูกภาคทัณฑ์ไว้ด้วย,,,,,,,,,,1613
1614,ร่วมมือ,rûːam mɯː,cooperate; collaborate,1855,79,ภาวะดังกล่าวทำให้ร่วมมือกันได้ยาก,,,,,,,,,,1614
1615,ปน,pon,mix; adulterate; mingle,1488,83,บางคนชอบทานข้าวที่มีข้าวจ้าวปนกับข้าวเหนียว,,,,,,,,,,1615
1616,สรรพ,sàp,whole; all; entire,707,92,ดวงอาทิตย์เป็นตัวกำเนิดแสงที่ให้พลังแสงแก่โลก และทุกสรรพสิ่ง,,,,,,,,,,1616
1617,ถาวร,tʰǎː wɔːn,permanent,1302,85,ประเทศผู้ค้าอาวุธรายใหญ่ของโลกอีก 4 ประเทศซึ่งล้วนแล้วแต่เป็นสมาชิกถาวรของคณะมนตรีความมั่นคงแห่งสหประชาชาติจะพร้อมใจกันลดการส่งออกอาวุธธรรมดาๆ,,,,,,,,,,1617
1618,ลุง,luŋ,uncle,3338,62,สมัยเรียนหนังสือผมอยู่ในอำนาจการดูแลของลุง,,,,,,,,,,1618
1619,วัว,wuːa,cow,1580,82,คนชอบนำสัตว์หลายชนิดมาถวายหลวงพ่อเช่น ช้าง วัว กระทิง หมูป่า เป็นต้น,,,,,,,,,,1619
1620,สาธารณสุข,sǎː tʰaː rá ná sùk,public health,1921,78,รัฐบาลให้ความสำคัญกับงบประมาณด้านการศึกษาและสาธารณสุข,,,,,,,,,,1620
1621,สุภาพ,sùʔ pʰâːp,polite; politely,1121,87,หนุ่มชาวเกาะยืนคิดอยู่ครู่ใหญ่ๆ จึงตอบคำถามท่านด้วยเสียงที่สุภาพ,,,,,,,,,,1621
1622,งั้น,ŋán,then; in that case,5532,36,ในเมื่อเขารู้แผนการณ์ของบริษัทแล้ว งั้นเราก็ต้องเปลี่ยนแผนใหม่,,,,,,,,,,1622
1623,รู,ruː,hole,1990,77,ใบหูและรูหูทำหน้าที่รับเสียงผ่านแก้วหูไปสู่หูชั้นกลางและหูชั้นใน,,,,,,,,,,1623
1624,ชาวนา,tɕʰaːw naː,farmer,2809,68,ชาวนายุคใหม่ใช้เครื่องทุ่นแรง เช่น รถไถ รถเก็บเกี่ยว เครื่องสี เพื่อความสะดวกของขั้นตอนการผลิต,,,,,,,,,,1624
1625,เพดาน,pʰeː daːn,ceiling,728,92,ห้องของเขาห้อยนกและเครื่องบินไว้บนเพดานจนเต็มเนื้อที่,,,,,,,,,,1625
1626,บ่งบอก,bòŋ bɔ̀ːk,indicate; show,941,89,การแต่งกายบ่งบอกบุคลิกภาพของแต่ละคน,,,,,,,,,,1626
1627,ร้ายแรง,ráːj rɛːŋ,serious; severe,1708,80,ความร้ายแรงของโรคนี้ถึงขั้นผู้ป่วยอาจเสียชีวิตได้ทันที,,,,,,,,,,1627
1628,กำ,kam,grasp; hold,1044,88,ดอกไม้ 3 กำใหญ่ๆ ถูกนำมาจัดเป็นช่ออย่างงดงาม,,,,,,,,,,1628
1629,เทียน,tʰiːan,candle,1912,78,ที่ศาลเจ้ามีคนมาจุดธูปเทียนจุดประทัดอยู่เป็นประจำ,,,,,,,,,,1629
1630,กำจัด,kam tɕàt,eliminate,2431,72,ในสังคมของเพื่อนร่วมงาน มีคนอยู่มากที่คิดที่จะกำจัดเพื่อนร่วมงานกันเองเพื่อ…,,,,,,,,,,1630
1631,กลางวัน,klaːŋ wan,daytime,1984,77,ถ้าปลูกบ้านหันหน้าไปทางทิศใต้ จะได้รับแสงแดดตอนกลางวัน,,,,,,,,,,1631
1632,บูชา,buː tɕʰaː,worship,1326,85,หล่อนบูชาความกล้าและความเสียสละของเขาอย่างที่จะไม่มีวันลืมเลือน,,,,,,,,,,1632
1633,บ่อ,bɔ̀ː,well; pit,1540,82,เกือบทุกบ้านในหมู่บ้านจะขุดบ่อน้ำไว้ในบริเวณบ้านเพื่อใช้บริโภคและอุปโภค,,,,,,,,,,1633
1634,ประดิษฐ์,pràʔ dìt,invent; create; make up,1410,84,ดอกไม้ประดิษฐ์ช่อนี้เหมือนจริงมาก,,,,,,,,,,1634
1635,ใส่ใจ,sàj tɕaj,pay attention; attend,1428,83,ตั้งแต่นี้ผมคงไม่เตือนเขาอีกแล้ว เพราะรู้แน่แก่ใจแล้วว่าเขาไม่ได้ใส่ใจกับคำพูดของผม,,,,,,,,,,1635
1636,บัว,buːa,lotus,1873,78,เธอเดินลัดเลาะไปยังอีกฝากหนึ่งเพื่อเก็บดอกบัวได้ง่ายขึ้น,,,,,,,,,,1636
1637,หลุด,lùt,fall off; loose,2472,71,เขาไถ่นาฬิกาจากโรงจำนำไม่ได้ เพราะหลุดเสียแล้ว,,,,,,,,,,1637
1638,คม,kʰom,sharp; clever,2169,75,เขามีคำพูดคมคายเป็นที่ถูกอกถูกใจของเจ้านาย,,,,,,,,,,1638
1639,ต่างหาก,tàːŋ hàːk,separately; on the contrary,3084,64,เขาแยกบ้านไปอยู่ต่างหากกับเมียของเขา,,,,,,,,,,1639
1640,เจ้าฟ้า,tɕâw fáː,his royal highness; prince,1207,86,เจ้าฟ้าเชียงตุงเป็นผู้ครองนครที่มีคุณธรรมมาก,,,,,,,,,,1640
1641,เฉย,tɕʰɤ̌ːj,ignore; pay no attention; calm; silent,2785,68,แม่เฉยจนพ่อแปลกใจ,,,,,,,,,,1641
1642,นิติกรรม,níʔ tìʔ kam,legal act,5962,30,ทนายความยื่นฟ้องศาลดำเนินคดีกับน้องชายต่างบิดาแล้วในข้อหานิติกรรมอำพราง,,,,,,,,,,1642
1643,ประชากร,pràʔ tɕʰaː kɔːn,population,3577,58,ประชากรของไทยเพิ่มขึ้นรวดเร็วมาก,,,,,,,,,,1643
1644,คนไข้,kʰon kʰâj,patient,3060,64,ตามโรงพยาบาลรัฐมีคนไข้แน่นจนแพทย์ให้บริการไม่ทัน,,,,,,,,,,1644
1645,แสวงหา,sà wɛ̌ːŋ hǎː,seek for; search for,2484,71,เด็กที่มาจากครอบครัวที่แตกแยก มักแสวงหาสิ่งทดแทนมาชดเชยส่วนที่ขาดหายไป,,,,,,,,,,1645
1646,กระทั่ง,kràʔ tʰâŋ,until; through,1526,82,คนงานทำงานตั้งแต่เช้ากระทั่งกลางวันค่อยพักกินข้าว,,,,,,,,,,1646
1647,ผู้บริหาร,pʰûː bɔː ríʔ hǎːn,administrator; director,2652,69,เขาได้รับรางวัลผู้บริหารดีเด่นเกือบทุกปี,,,,,,,,,,1647
1648,กล,kon,machine; trickery,768,91,ถึงแม้เขาจะเป็นนักมายากลระดับชาติ แต่กลที่แสดงก็เป็นเพียงกลง่ายๆ ธรรมดา,,,,,,,,,,1648
1649,ศักยภาพ,sàk kà já pʰâːp,ability; potential; latency,1904,78,ขบวนการขจก. ลดน้อยลงมากจึงไม่มีศักยภาพที่จะสั่นคลอนอำนาจรัฐได้แล้ว,,,,,,,,,,1649
1650,ครอบครอง,kʰrɔ̂ːp kʰrɔːŋ,possess,2114,75,เขาเข้าครอบครองทรัพย์สินทั้งหมดเมื่อบิดาเขาตาย,,,,,,,,,,1650
1651,อ่อนแอ,ʔɔ̀ːn ʔɛː,weak; feeble; tired,1314,85,ทารกบางคนอ่อนแอ ขี้โรค ระบบประสาทเชื่องช้า,,,,,,,,,,1651
1652,มงคล,moŋ kʰon,auspicious,1666,80,ผู้กว้างขวางในสังคมมักได้รับเชิญให้สวม และถอดมงคลให้คู่บ่าวสาวในพิธีมงคลสมรส,,,,,,,,,,1652
1653,ครั้งนั้น,kʰráŋ nán,at that time,1015,88,ครั้งนั้นเธอทำผิดโดยไม่ได้ตั้งใจ ผมจึงให้อภัยเธอ,,,,,,,,,,1653
1654,ที่แล้ว,tʰîː lɛ́ːw,...ago,2505,71,ตัวเอกในเรื่องนี้เพิ่งจะได้รับรางวัลตุ๊กตาทองเมื่อปีที่แล้ว,,,,,,,,,,1654
1655,คนใช้,kʰon tɕʰáj,maid; servant,616,93,คนใช้บ้านเธอทำงานสะอาดเรียบร้อยและไว้ใจได้,,,,,,,,,,1655
1656,รู้ตัว,rúː tuːa,be aware of,2269,73,ท่านเองก็อาจจะไม่รู้ตัวว่าเมื่อเป็นเด็ก ท่านเองก็เป็นเช่นนี้เหมือนกัน,,,,,,,,,,1656
1657,มหาศาล,má hǎː sǎːn,huge,1221,86,์เครื่องจักรในอุดมคติคือเครื่องที่สามารถรับวัตถุดิบได้อย่างมหาศาล,,,,,,,,,,1657
1658,ขอบคุณ,kʰɔ̀ːp kʰun,thank you,3264,61,ผมรู้สึกขอบคุณสำหรับการช่วยเหลือของผู้ชายคนนั้นอยู่เสมอ,,,,,,,,,,1658
1659,จอด,tɕɔ̀ːt,park,2903,66,เรือจอดอยู่กลางแม่น้ำ,,,,,,,,,,1659
1660,คิว,kʰiw,queue; cue,1487,82,ญี่ปุ่นสั่งซื้อไม้เข้าประเทศคิดเป็นจำนวน 37.5 ล้าน คิวบิกเมตร,,,,,,,,,,1660
1661,เจาะ,tɕɔ̀ʔ,drill,1761,79,ช่างเจาะแผ่นเหล็กด้วยสว่านไฟฟ้า,,,,,,,,,,1661
1662,เสียใจ,sǐːa tɕaj,sorry; upset,2015,76,ฉันรู้สึกเสียใจกับเรื่องที่เกิดขึ้นและไม่ได้ตั้งใจให้เป็นแบบนั้นจริงๆ,,,,,,,,,,1662
1663,พาณิชย์,pʰaː nít,commerce,3397,59,ปัจจุบันตลาดพระเครื่องได้กลายเป็นธุรกิจในเชิงพาณิชย์ที่เป็นที่ยอมรับของสังคมส่วนใหญ่,,,,,,,,,,1663
1664,เล่าเรียน,lâw riːan,study,480,94,นักเรียนทุกคนควรมีความรับผิดชอบต่อหน้าที่ของตนคือตั้งใจศึกษาเล่าเรียน,,,,,,,,,,1664
1665,ขยายตัว,kʰà jǎːj tuːa,expand,2801,67,ความก้าวหน้าทางชีววิทยาทำให้เกิดการขยายตัวของวิธีการทางการแพทย์,,,,,,,,,,1665
