Thai,English,Romanization,ipa,Exemple sentence
ยี่ห้อ,brand,yiho,jîː hɔ̂ː,แค่การกระทำก็บอกยี่ห้อเขาแล้วล่ะ
ฟรี,free,fri,friː,ฉันว่างานฟรีแบบนี้คงไม่มีใครเต็มใจมาช่วยเท่าไหร่หรอก
ไว้วางใจ,trust; have confidence,waiwangchai,wáj waːŋ tɕaj,สังคมของเราทุกวันนี้ เราไม่สามารถจะไว้วางใจใครได้
ลวดลาย,pattern; trick; talent,luatlai,lûːat laːj,ช่างไทยโบราณนิยมใช้ลวดลายต่างๆ ประดับลงบนสิ่งของเครื่องใช้
เนื่องมาจาก,due to; owing to,nueangmachak,nɯ̂ːaŋ maː tɕàːk,พนักงานรักษาความปลอดภัยถูกพักงานเนื่องมาจากความไม่รับผิดชอบงานของตนเอง
มั่น,certain; sure,man,mân,ผมแน่ใจว่าเธอต้องมา เพราะเธอรับคำเป็นมั่นเป็นเหมาะแล้ว
กุญแจ,key,kunchae,kun tɕɛː,ทางเข้าแต่ละทางมีเครื่องกั้นหน้าหรือประตูกั้นลั่นกุญแจอยู่ทุกทาง
ภูมิใจ,proud,phumchai,pʰuːm tɕaj,บทเรียนจากอดีตสอนใจเราให้รักชาติ รักความเป็นไทย และภูมิใจในสิ่งดีงามของชาติ
เวร,turn; shift; duty; retribution; fate,wen,weːn,ถ้าช่วยอะไรไม่ได้แล้วก็ปล่อยให้เป็นไปตามเวรตามกรรมของมันเถอะ
โง่,stupid,ngo,ŋôː,ถ้าเด็กทำไม่ได้ก็อย่าเพิ่งลงโทษว่าเด็กโง่หรือไม่รักดี
ลูกศิษย์,disciple; follower,luksit,lûːk sìt,ท่านเป็นครูบาอาจารย์ที่ลูกศิษย์เคารพยกย่องมาก
ควบคู่,go together,khuapkhu,kʰûːap kʰûː,เกษตรกรเพาะปลูกต้นไม้ควบคู่ไปกับการเลี้ยงสัตว์
เปล่ง,glow; shine; utter; express,pleng,plèŋ,รอบๆ องค์พระปฏิมากรจะปรากฏเส้นรัศมีเปล่งออกมาจากองค์พระ
พระนาง,princess; Her Majesty,phranang,pʰráʔ naːŋ,เมื่อพระปรเมศวรสิ้นพระชนม์แล้วพระนางศรีสุดาจันทร์กับขุนชินราชก็มีอำนาจบังคับบัญชาสิทธิ์ขาดราชการบ้างเมือง
เสิร์ฟ,serve,soep,sɤ̀ːf,ผมกระดกเบียร์เข้าปากจนหมดแก้วจากนั้นจึงเรียกสาวเสิร์ฟมาเช็คบิลจ่ายเงิน
สำราญ,be happy,samran,sǎm raːn,หมูแม่ลูกอ่อนล้มตัวนอนให้ลูกกินนมอย่างสำราญ
รับราชการ,be a civil servant,rapratchakan,ráp râːt tɕʰá kaːn,ระหว่างรับราชการนี้ ครูได้ทำงานออกแบบหลายอย่าง
หย่อน,be flabby,yon,jɔ̀ːn,สังขารเป็นสิ่งไม่เที่ยง ถึงวัยสาวจะสวยงามเพียงใจ พอแก่ไปทุกอย่างก็หย่อนยานหาความงามมิได้
สนิทสนม,intimate; informaly,sanitsanom,sà nìt sà nǒm,เขาพยายามคุยและทำท่าทางสนิทสนมกับทุกคน
สถานภาพ,status,sathanphap,sà tʰǎː náʔ pʰâːp,ชนบทบาทและสถานภาพของหญิงสูงขึ้น ทั้งในระดับครอบครัวและระดับสังคม
ซาก,carcass; corpse; remains,sak,sâːk,นักโบราณคดีขุดพบซากไดโนเสาร์ที่จังหวัดขอนแก่น
ระดม,mobilize; assemble,radom,ráʔ dom,คู่ต่อสู้มีแผนที่จะระดมคะแนนเสียงด้วยวิธีทุจริต
โจทก์,plaintiff,chot,tɕòːt,ศาลวินิจฉัยว่าข้อคัดค้านของโจทก์ไม่ถูกต้อง
หมดสิ้น,solve; end a problem,motsin,mòt sîn,รัฐบาลไม่สามารถสะสางปัญหาได้หมดสิ้น เพราะทุกปัญหาจำเป็นจะต้องใช้เม็ดเงิน
ปาน,birthmark; similar; like,pan,paːn,ปานดำลักษณะนี้นี้พบในเด็กที่มีเชื้อชาติเอเชียและแอฟริกา
แพร่หลาย,be widespread; well-known,phraelai,pʰrɛ̂ː lǎːj,พันธุ์ข้าวขาวดอกมะลิได้ปลูกกันอย่างแพร่หลายในจังหวัดต่างๆ ในภาคตะวันออกเฉียงเหนือ
จูงใจ,persuade; induce,chungchai,tɕuːŋ tɕaj,ปัจจุบันการฝากเงินกับแบงก์มีดอกเบี้ยไม่จูงใจ คนจึงต้องหันไปลงทุนทางด้านอื่น
ล้น,overflow,lon,lón,ปัญหาต่างๆ มันล้นออกมานอกกรอบแล้ว
พิทักษ์,protect; guard over,phithak,pʰíʔ tʰák,เจ้าหน้าที่ตำรวจคอยพิทักษ์ความปลอดภัยให้แก่คนในชุมชน
ผู้ทรง,maintains; possesses,phusong,pʰûːt roŋ,ชาวซิกข์เชื่อกันว่า เกศหรือผมแสดงถึงความเป็นนักบวชและผู้ทรงคุณธรรม
วรรณกรรม,literature; literary works; writings,wannakam,wan ná kam,ถ้าเธอได้อ่านเรื่องราวในวรรณกรรมเยาวชนอาจจะทำให้จิตใจดีขึ้นก็ได้
ชุมนุม,congregate; assemble; gather,chumnum,tɕʰum num,ลูกจ้างชุมนุมกันตั้งแต่บ่ายสองโมง
อุ้ม,carry; hold,um,ʔûm,เขาช่วยอุ้มคนเจ็บไปส่งโรงพยาบาล
ต่อจากนั้น,afterwards,tochaknan,tɔ̀ː tɕàːk nán,ท้องฟ้าด้านทะเลมืดครึ้มด้วยเมฆทะมึน ต่อจากนั้นก็เกิดพายุกระโชกรุนแรงเพิ่มขึ้นเรื่อยๆ
แปร,change; shift; alter,prae,prɛː,หน้าที่ของนักเขียนต้องเขียนต้องแปรความทุกข์ความสุขให้เป็นงานให้ได้
อยู่รอด,survive; exist,yurot,jùː rɔ̂ːt,เขาจะต้องหาเงินมาค้ำชูองค์การนี้ให้อยู่รอด
ดัก,trap; snare; hold back,dak,dàk,พ่อกำลังเตรียมตัวออกไปดักหนู
พ่ายแพ้,lose; fail,phaiphae,pʰâːj pʰɛ́ː,ในที่สุดเขาก็ต้องพ่ายแพ้ต่อกระแสกดดันจากพวกชาตินิยม
รั้ว,fence,rua,rúːa,พวกเราช่วยกันปักไม้เพื่อทำเป็นรั้ว
เคยชิน,become familiar; indimate,khoeichin,kʰɤːj tɕʰin,เขาเคยชินกับการเป็นพี่ที่ต้องปกป้องดูแลน้องๆ
เพื่อนฝูง,friends; company,phueanfung,pʰɯ̂ːan fǔːŋ,เขาชอบไปเที่ยวกับเพื่อนฝูงมากกว่าไปกับแฟน
สิริ,fortune; grace; luck,siri,sìʔ rìʔ,เขาไปรดน้ำมนต์เพื่อเป็นสิริมงคลแก่ตัว
อาณาจักร,territory; regime; area,anachak,ʔaː naː tɕàk,ความนิยมของธุรกิจบันเทิงที่เติบโตยุคเศรษฐกิจฟองสบู่ได้ก่อร่างสร้างอาณาจักรบันเทิงขึ้นย่านถนนรัชดาภิเษก-พระราม9
จัดงาน,organize; arrange,chatngan,tɕàt ŋaːn,บรรดาญาติวีรชนเดือนตุลาและองค์กรประชาธิปไตยอื่นๆ ได้จัดงาน รำลึกถึงวีรชนเดือนตุลา ขึ้นที่บริเวณสี่แยกคอกวัว
ความเคลื่อนไหว,movement; motion,khwamkhlueanwai,kʰwaːm kʰlɯ̂ːan wǎj,ความเคลื่อนไหวของระบบเศรษฐกิจในบ้านเราไม่ค่อยดีนัก
ข่มขืน,rape,khomkhuen,kʰòm kʰɯ̌ːn,โจรข่มขืนหญิงสาวกลางป่า
ขอรับ,"yes, sir, right",khorap,kʰɔ̌ː ráp,ท่านจะไปไหนขอรับ ให้ผมขับรถไปให้ไหมขอรับ
ปล้น,rob,plon,plôn,โจนปล้นธนาคารเมื่อวานนี้
ดม,smell,dom,dom,มีไม่กี่คนที่ดมทุเรียนแล้วบอกว่าหอม
ที่ทำการ,office,thithamkan,tʰîː tʰam kaːn,หัวหน้าพรรคนัดประชุมลูกพรรค ณ ที่ทำการของพรรค
ติดตั้ง,install; set up,tittang,tìt tâŋ,พนักงานกำลังติดตั้งเครื่องตรวจจับความเร็วบนทางด่วน
เอ็ด,one,et,ʔèt,กองทัพเรือยิงสลุดยี่สิบเอ็ดนัด
จารึก,"inscribe, engrave, record",charuek,tɕaː rɯ́k,บนหินปั้น เราจะเห็นตัวอักษร ป จารึกอยู่
ธูป,incense,thup,tʰûːp,ที่ศาลมีธูปเตรียมไว้ให้ผู้คนไปกราบไว้บูชา
รอยยิ้ม,smile,roiyim,rɔːj jím,ผมรู้อยู่เต็มอกว่า รอยยิ้มของเขานั้นเป็นยิ้มจอมปลอม
โฉม,appearance,chom,tɕʰǒːm,ประชาชนพากันรอชมโฉมนางงามจักรวาล
เจ้าหญิง,princess,chaoying,tɕâw jǐŋ,สื่อมวลชนวิพากษ์วิจารณ์กันมากถึงเรื่องการบาดเจ็บของเจ้าหญิงไดอาน่า
ประจักษ์,be evident; certain,prachak,pràʔ tɕàk,ข้อค้นพบของเขาทำให้โลกต้องประจักษ์ในอำนาจของวิธีการทางวิทยาศาสตร์
นามสกุล,surname,namsakun,naːm sà kun,นามสกุลของเขาได้รับพระราชทานมาจากในหลวงรัชกาลที่ 6
มูล,basis; source; dung,mun,muːn,เรื่องนี้คงมีมูลมาจากนักข่าวที่อาจฟังไม่รู้เรื่องแล้วเอาไปเขียนข่าว
เชียว,indeed; really; truly,chiao,tɕʰiːaw,อาจารย์สอนภาษาคนใหม่ออกข้อสอบภาษาอังกฤษยากเชียว
แกล้ง,tease; irritate; pretend,klaeng,klɛ̂ːŋ,เขาแกล้งป่วยเพื่อเลี่ยงงาน
ร้องขอ,beg for; request,rongkho,rɔ́ːŋ kʰɔ̌ː,พนักงานสอบสวนร้องขอให้มีการออกหมายอาญา
ประกาย,spark; flash,prakai,pràʔ kaːj,นัยน์ตาเขาเป็นประกายวับ
ด้วยเหตุนี้,so; therefore; for this reason,duaihetni,dûaj hěː tùʔ níː,หลวงพ่อเป็นพระที่มากด้วยเมตตามีความกรุณาต่อมนุษย์และสัตว์ด้วยเหตุนี้จึงมีคนชอบนำสัตว์นานาชนิดมาถวาย
สตางค์,money,satang,sà taːŋ,รายจ่ายแต่ละเดือนมีมากเสียจนเขาแทบจะไม่มีสตางค์ไว้จับจ่ายซื้อของในแต่ละเดือน
ข้อบังคับ,"regulation, rule",khobangkhap,kʰɔ̂ː baŋ kʰáp,ส่วนราชการมีข้อบังคับให้ทุกคนปฏิบัติตาม
ดีงาม,good; fine,di-ngam,diː ŋaːm,การบวช การสวดมนต์ การตักบาตรทำบุญเป็นประเพณีที่ดีงามของสังคมไทย
เคร่งครัด,strictly; serious,khrengkhrat,kʰrêŋ kʰrát,วัดแต่ละวัดมีแนวทางในการปฏิบัติศาสนกิจแตกต่างกัน บางวัดเคร่งครัด บางวัดไม่เคร่งครัด
ขนาน,to be parallel,khanan,kʰà nǎːn,ยารักษาโรคมะเร็งสองขนานที่ออกสู่ตลาดเป็นแบบฉีดและแบบรับประทาน
ห้องสมุด,library,hongsamut,hɔ̂ːŋ sà mùt,ห้องสมุดเป็นแหล่งข้อมูลความรู้สำคัญสำหรับเยาวชน
หนุน,support; prop up,nun,nǔn,รัฐบาลปัจจุบันตัดสินใจหนุนจัดตั้งตลาดซื้อขายสินค้าเกษตร
ขัดขวาง,obstruct; stop; impede,khatkhwang,kʰàt kʰwǎːŋ,เพื่อนๆ ช่วยกันขัดขวางผมไม่ให้ฆ่าตัวตาย
นักวิทยาศาสตร์,scientist,nakwitthayasat,nák wít tʰá jaː sàːt,ประเทศของเรายังต้องการนักวิทยาศาสตร์อีกมาก
การณ์,situation; event,kan,kaːn,ผู้ที่จะเป็นผู้บริหารที่ดีได้ต้องเป็นคนที่มองการณ์ไกล
ผู้กำกับ,director,phukamkap,pʰûː kam kàp,ผู้กำกับท่านนี้คร่ำหวอดอยู่ในวงการบันเทิงมานานหลายปี
นักร้อง,singer,nakrong,nák rɔ́ːŋ,เดี๋ยวนี้รายการเพลงมีการสัมภาษณ์นักร้องใหม่ๆ เพื่อเอาใจแฟนเพลง
นักรบ,warrior,nakrop,nák róp,งานนี้ต้องปรบมือให้นักรบทุกคนที่เสียสละจนได้ชัยชนะมา
ห้าง,store,hang,hâːŋ,ชายพิการรีบเขยกขาลงจากห้าง ลุยน้ำไปขึ้นโคกสะเดาที่ควายสองตัวยืนเบียดกันอยู่
ชิด,close,chit,tɕʰít,มีรถยนต์สีดำคันหนึ่งแล่นปราดเข้ามาชิดกับขอบถนน
คาน,counterbalance,khan,kʰaːn,สหรัฐอเมริกาต้องใช้กำลังทหาร 4 แสนกว่านายเข้าไปในพื้นที่เพื่อคานกำลังสร้างดุลยภาพระหว่างกองทัพอันใหญ่โตมโหฬารของอิรักกับชาติอาหรับที่เป็นกลาง
นายทหาร,officer; military officer,naithahan,naːj tʰá hǎːn,นายทหารทุกคนเข้าประจำการในค่ายเตรียมรับมือกับสถานการณ์ที่กำลังจะเกิดขึ้น
เปื้อน,stain; dirty,puean,pɯ̂ːan,ชายชราถูนิ้วมือที่เปื้อนกาวแห้งๆ กับชายเสื้อ
เกลือ,salt,kluea,klɯːa,สำหรับเนื้อสัตว์จะปรุงรสและดับกลิ่นคาวด้วยรกผักชี กระเทียม พริกไทย และเกลือ เช่น กุ้งทอดหมูทอด ปลาทอด
เด็กชาย,boy,dekchai,dèk tɕʰaːj,เด็กชายมีรูปร่างผอมแกร็นราวกับคนขี้โรค
สัมมนา,seminar,sammana,sǎm má naː,ตัวแทนจากภาครัฐฯ และเอกชนกว่า 30 คนเดินทางไปประเทศสหรัฐอเมริกาเพื่อจัดสัมมนาชักชวนการลงทุนด้านสิ่งแวดล้อมและพลังงานสู่ประเทศไทย
ในขณะเดียวกัน,at the same time,naikhanadiaokan,naj kʰà nàʔ diːaw kan,โลกหมุนรอบดวงอาทิตย์ในขณะเดียวกันก็หมุนรอบตัวเองด้วย
เชื้อสาย,family lineage,chueasai,tɕʰɯ́ːa sǎːj,ชาวไทยเชื้อสายจีนเตรียมซื้อของไหว้เพื่อใช้ในเทศกาลตรุษจีน
กับข้าว,dish; course eaten with rice,kapkhao,kàp kʰâːw,อาหารเย็นมื้อนี้มีกับข้าวอยู่ 4-5 อย่าง
ใจกลาง,center; heart,chaiklang,tɕaj klaːŋ,ห้างสรรพสินค้าใหญ่ที่อยู่ในใจกลางของเมืองกำลังลดราคากางเกงยีนส์ครั้งใหญ่
เข่า,knee,khao,kʰàw,คนเราพออายุมากขึ้นเข่าก็จะเริ่มมีปัญหา
รถเมล์,bus,rotme,rót meː,โจรจี้ผู้โดยสารบนรถเมล์ แล้วในที่สุดก็ไม่รอดถูกตำรวจยิงตาย
สืบทอด,inherit; succeed to,suepthot,sɯ̀ːp tʰɔ̂ːt,พวกเราตั้งใจจะสืบทอดเจตนารมณ์ของคุณปู่
ประณีต,finely; neatly; elaborately,pranit,pràʔ nîːt,เธอแกะสลักผักและผลไม้ประณีตมาก
อวด,show off; flaunt,uat,ʔùːat,ในงานเทศกาลสำคัญต่างๆ ชาวบ้านจะพากันแต่งตัวด้วยผ้าทอเป็นพิเศษไปอวดประชันกัน
นิยาม,define; explain; clarify,niyam,níʔ jaːm,พจนานุกรมฉบับราชบัณฑิตยสถานพ.ศ.2525 ให้คำนิยามว่าจริยธรรมคือธรรมที่เป็นข้อประพฤติปฏิบัติ
ควาย,buffalo,khwai,kʰwaːj,ในอตีดที่ผ่านมา สังคมไทยเห็นว่าผู้หญิงเป็นควาย ส่วนผู้ชายเป็นคน แต่เมื่อความเจริญก้าวหน้าทางวัฒนธรรมเข้ามา สภาพที่ผู้หญิงเป็นควาย ผู้ชายเป็นคนก็ผ่านพ้นไป
โกหก,lie; forge,kohok,koː hòk,เขาโกหกเก่ง
เป็นต้นมา,until now; up to now,pentonma,pen tôn maː,ตั้งแต่ต้นคริสต์ศตวรรษที่ 15 เป็นต้นมาชาวยุโรปเริ่มให้ความสนใจและพยายามแสวงหาเส้นทางเดินเรือมายังตะวันออกแล้ว
จิตวิทยา,psychology,chittiwitthaya,tɕìt tàʔ wít tʰá jaː,เจ้าหน้าที่ตำรวจหน่วยปราบจลาจลได้รับการฝึกฝนให้รับสภาพความวุ่นวาย และจิตวิทยาฝูงชนมาเป็นอย่างดี
วิศวกร,engineer,witsawakon,wít sà wá kɔːn,ปัญหาสมองไหลในสาขาขาดแคลนมิได้มีเพียงวิศวกรเท่านั้น หากสาขาสำคัญอื่นๆ ก็เริ่มจะมีมากขึ้น
นาค,Naga,nak,nâːk,ญาติๆ กำลังเตรียมแห่นาครอบโบสถ์
ข้าวโพด,corn,khaophot,kʰâːw pʰôːt,เกษตรกรปลูกข้าวโพดหลายชนิดทั้งที่คนสามารถบริโภคได้และที่ใช้เลี้ยงสัตว์
เครื่องประดับ,decorations; ornaments,khrueangpradap,kʰrɯ̂ːaŋ pràʔ dàp,ประติมากรรมซึ่งแฝงอยู่กับศิลปกรรมอื่นๆ เป็นเครื่องประดับตกแต่งศิลปสถานและศิลปวัตถุให้เกิดคุณค่าความงาม
โกง,cheat,kong,koːŋ,นักฟุตบอลจากทีมA โกงนักฟุตบอลจากทีมB อย่างเห็นได้ชัด
แน่ชัด,clearly,naechat,nɛ̂ː tɕʰát,นักวิทยาศาสตร์ประกาศยืนยันแน่ชัดว่า รังสีจากจอภาพของคอมพิวเตอร์ไม่ก่อให้เกิดพิษภัยใดๆ กับสายตา
นุ่ม,soft; gentle,num,nûm,การอบขนมเค้กและพายต่างๆ อาหารที่ได้จะต้องมีลักษณะที่ภายนอกสุกเหลืองเกรียม แต่ภายในนุ่ม
ทุ่มเท,devote; dedicate,thumthe,tʰûm tʰeː,เมื่อเขาโตแล้วความสนใจที่บิดามารดาเคยทุ่มเทให้เฉพาะตนผู้เดียวก็ถูกปันไปให้น้องๆ
กระป๋อง,can; tin,krapong,kràʔ pɔ̌ːŋ,หมอแนะนำว่าไม่ควรดื่มโค้กเกินวันละ 2 กระป๋อง
สมมุติ,suppose; assume,sommuti,sǒm mút,สมมุติว่าเป็นเรื่องจริง
ผู้ตาย,deceased; dead,phutai,pʰûː taːj,ญาติที่ใกล้ชิดกับผู้ตายก็เหลืออยู่ไม่กี่คน
ล่าสุด,last; latest; most recently,lasut,lâː sùt,ล่าสุดรัฐบาลก็เข้ามาลากชวนเชิญฝ่ายค้านเข้าร่วมทำงานด้วย
บุก,invade; trespass; attack,buk,bùk,คณะเขาบุกเข้าป่าไปโดยไม่ฟังเสียงห้ามของชาวบ้าน
ดัด,bend; straighten,dat,dàt,พ่อดัดต้นไม้ให้เป็นรูปนก
ท้องที่,area; region; locality,thongthi,tʰɔ́ːŋ tʰîː,ตำรวจนำตัวผู้ต้องหามาสอบสวนยังท้องที่ที่รับผิดชอบ
ฝ่า,undergo; brave,fa,fàː,ลูกเรือต้องฝ่าคลื่นลมในทะเลที่ปั่นป่วน
ศิษย์,student; pupil,sit,sìt,บางทีครูอาจารย์ก็ต้องดุต้องต้องว่าด้วยความปรารถนาให้ศิษย์ได้ดี
กล้วย,banana,kluai,klûaj,เด็กๆ อายุ 2-8  เดือนจะกินกล้วยบดเป็นอาหาร
กล้าหาญ,brave,klahan,klâː hǎːn,เราได้พัฒนาความสามารถที่จะเผชิญความลำบากอย่างกล้าหาญ
เทศบาล,municipality,thetsaban,tʰêːt sà baːn,รัฐบาลกลางได้คืนอำนาจปกครองให้แก่เทศบาล
นิดหน่อย,a little,nitnoi,nít nɔ̀ːj,ผมพูดภาษาอังกฤษได้นิดหน่อยพอสื่อสารได้
ไหล่,shoulder,lai,làj,ครูจัดให้เด็กยืนตามลำดับไหล่
เอาแต่,only be interested in,aotae,ʔaw tɛ̀ː,รัฐบาลควรเอาใจใส่เรื่องการกระจายรายได้ด้วย อย่าเอาแต่ขยายตัวทางเศรษฐกิจอย่างเดียว
สันนิษฐาน,presume; suppose,sannitthan,sǎn nít tʰǎːn,ตำรวจสันนิษฐานว่าคนในบ้านมีส่วนรู้เห็นกับคนร้าย
ปราสาท,castle; palace,prasat,praː sàːt,สำนักพระราชวังจะได้จัดที่สำหรับลงพระนามลงนามถวายพระพรและเปิดปราสาทพระเทพบิดรให้ถวายบังคมพระบรมรูปพระมหากษัตริย์ในราชวงศ์จักรี
เท่าเทียม,be equal,thaothiam,tʰâw tʰiːam,สมัยปัจจุบันชายและหญิงมีฐานะเท่าเทียมกันเพราะอิทธิพลของอารยธรรมตะวันตก
ด่าน,barrier; bar; barricade,dan,dàːn,ด่านเจดีย์สามองค์มีชายแดนติดกับพม่า
หาเงิน,earn money,ha-ngoen,hǎː ŋɤn,ผมต้องขยันทำงานตัวเป็นเกลียว เพื่อหาเงินมาผ่อนบ้านในแต่ละเดือน
โดยสาร,take; ride,doisan,doːj sǎːn,เขาโดยสารรถบรรทุกมาจนถึงกรุงเทพฯ
ลึกลับ,mysterious,lueklap,lɯ́k láp,ผู้บริหารของบริษัทค้าไม้ได้รับจดหมายจากคนลึกลับเมื่อสัปดาห์ที่แล้ว
เชือก,rope; string; accord,chueak,tɕʰɯ̂ːak,โคบาลใช้เชือกผูกม้าเอาไว้ใต้ต้นไม้
โต้,counter; contend; refute,to,tôː,ผมชำเลืองมองแม่ครัวสาวเห็นกำลังนั่งลับอีโต้ พลิกตำราหาลู่ทางอย่างขะมักเขม้น
ปาง,buddha posture; almost; epoch,pang,paːŋ,บรรดาศิลปินชาวอินเดียวคิดหาทางสร้างรูปเคารพเป็นสัญลักษณ์แสดงเรื่องราวปางต่างๆ ของพระพุทธองค์ขึ้น
ชั่ง,weigh,chang,tɕʰâŋ,แม่ค้าชั่งผลไม้ให้ลูกค้า 3 กิโลกรัม
บริวาร,followers; satellite,boriwan,bɔ̀ʔ ríʔ waːn,หากใครเป็นคนสำคัญในท้องถิ่นที่มีบริวารและสมัครพรรคพวกมาก ก็มักมีผู้คนเข้าไปขอความช่วยเหลือ
รายชื่อ,name list,raichue,raːj tɕʰɯ̂ː,เขาจะต้องเดินทางไปขายของตามเมืองที่มีรายชื่อนี้ทุกเมือง
เว้นแต่,unless; but; only if,wentae,wén tɛ̀ː,ข้าพเจ้าก็ไม่เคยไปพบท่านจอมพลเลย เว้นแต่จะมีหน้าที่ราชการเท่านั้น
ละเมิด,violate; infringe,lamoet,láʔ mɤ̂ːt,แม้บางคนจะชอบละเมิดคำสอนในศาสนา แต่ใจเขาก็ยังเคารพอยู่
ซักถาม,question; interrogate,saktham,sák tʰǎːm,นักเรียนซักถามอาจารย์เรื่องการหักเหของแสงในน้ำ
หลงใหล,alluringly,longlai,lǒŋ lǎj,หนังสือเล่มนี้เป็นเล่มที่ผมเคยอ่านอย่างหลงใหล
ผู้ประกอบการ,entrepreneur,phuprakopkan,pʰûː pràʔ kɔ̀ːp kaːn,การทุ่มตลาดจากต่างประเทศทำให้ผู้ประกอบการต่างๆ รวมตัวกันเรียกร้องให้รัฐคุ้มครองเป็นพิเศษ
พยัก,nod,phayak,pʰá ják,เธอพยักหน้าตอบรับคำขอร้องของเพื่อน
วางตัว,behave; conduct oneself,wangtua,waːŋ tuːa,เขาวางตัว สูง ไม่ค่อยคลุกคลีกับสมาชิกพรรคทำให้ลูกพรรคต่างไม่ยอมรับ
อุดหนุน,aid; help (with money),utnun,ʔùt nǔn,บริษัทได้ทำสัญญา 3 ปีที่จะอุดหนุนเงินทุนให้สถาบันทำการวิจัย
ก็แล้วกัน,as you like it,kolaeokan,kɔ̂ː lɛ́ːw kan,ถ้าเขาอยากไปก็ปล่อยให้เขาไปก็แล้วกัน
วิทยาลัย,college,witthayalai,wít tʰá jaː laj,มหาวิทยาลัยและวิทยาลัยต่างๆ ได้บรรจุวิชาปรัชญาเข้าไว้ในหลักสูตรการศึกษาของตน
บรรเทา,ease; alleviate,banthao,ban tʰaw,อาการโรคหัวใจของเขาบรรเทาลงไปบ้างหลังจากเข้ารับการรักษาที่โรงพยาบาล
จอมพล,Field Marshall,chomphon,tɕɔːm pʰon,พ่อฉันเกิดสมัยจอมพลป.พิบูลสงคราม
อุดมการณ์,ideology,udomkan,ʔùʔ dom kaːn,วัยรุ่นจะเชื่อเสมอว่าอุดมการณ์คือสิ่งที่ทำให้เป็นจริงได้เสมอ
เจดีย์,pagoda; stupa,chedi,tɕeː diː,นักโบราณคดีขุดพบพระเครื่องเป็นจำนวนมากที่เจดีย์เก่าในจังหวัดอยุธยา
ตรงกลาง,amidst,trongklang,troŋ klaːŋ,เขาช่วยกันเจาะรูตรงกลางเมล็ดถั่ว แล้วร้อยไปตามเส้นลวด
ครีม,cream,khrim,kʰriːm,ผู้ที่ลดความอ้วนพยายามเลี่ยงอาหารที่มีครีมเป็นดีที่สุด
ใย,fiber; tread; to be concerned about,yai,jaj,หล่อนผัดหน้าขาวเป็นนวลใย
ฟุต,foot,fut,fút,ระบบการบินโดยอัตโนมัตินั้น จะใช้ต่อเมื่อเครื่องบินอยู่ในระดับสูงที่ปลอดภัยแล้วเป็นหมื่นฟุตเหนือพื้นดินขึ้นไป
โล่ง,open; clear; empty,long,lôːŋ,ฝาห้องดูโล่งๆ ชอบกล น่าจะหาอะไรมาติดให้สวยงาม
ลมหายใจ,breath,lomhaichai,lom hǎːj tɕaj,เขาสูดลมหายใจเข้าปอดเต็มที่ ก่อนที่จะดำดิ่งลงสู่ใต้ผืนน้ำ
แค้น,be angry; furious,khaen,kʰɛ́ːn,ชาวบ้านแค้นพ่อค้าแม่ค้ามากที่ฉวยโอกาสขึ้นราคาสินค้าในช่วงนี้
ประชาธิปัตย์,democrats,prachathipat,pràʔ tɕʰaː tʰíʔ pàt,พลเอกชวลิต ยงใจยุทธ นำพลพรรคความหวังใหม่ลงใต้ เจาะฐานเสียงพรรคประชาธิปัตย์
ประเมินผล,evaluate; assess; estimate,pramoenphon,pràʔ mɤːn pʰǒn,คณะกรรมการประเมินผลการจัดงานว่าอยู่ในระดับดี
นักโทษ,prisoner,nakthot,nák tʰôːt,บัญชาเป็นนักโทษอุกฉกรรจ์ที่ถูกตัดสินจำคุกตลอดชีวิต
ถ้ำ,cave,tham,tʰâm,ใต้องค์พระลงไปเป็นถ้ำ ซึ่งดูในรูปก็จะเห็นจากรอยแยกเป็นเงาดำ
พื้นบ้าน,folk; local,phuenban,pʰɯ́ːn bâːn,การชนไก่ถือเป็นกีฬาพื้นบ้าน ถ้าหากไม่คิดว่าเป็นการทรมานสัตว์หรือขัดกับจริยธรรม
ค่าเช่า,rent; rental fee; charge,khachao,kʰâː tɕʰâw,"ในอังกฤษมีบริการให้ทนายเช่าพิมพ์ดีดคอมพิวเตอร์ไว้ในสำนักงานเสียค่าเช่าเดือนละประมาณ 2,000 บาท"
หวาดกลัว,fear,watklua,wàːt kluːa,ชาวบ้านระแวกนั้นต่างหวาดกลัวโจรผู้ร้าย
ขุนนาง,nobility,khunnang,kʰǔn naːŋ,คุณตาของเขาเป็นขุนนางรับราชการในวัง
รับสั่ง,order,rapsang,ráp sàŋ,สมเด็จกรมพระยาดำรงราชานุภาพเคยรับสั่งว่า เริ่มมีความสนพระทัยในการอ่าน ก็ด้วยการเริ่มต้นอ่านสามก๊ก
ขั้ว,pole; wing; faction,khua,kʰûːa,สองคนนี้เหมือนอยู่กันคนละขั้ว ไม่มีวันจะเข้ากันได้เลย
หุ้ม,overlay; cover; plate,hum,hûm,ฆ้อนของเปียโนทำด้วยไม้หุ้มผ้าสักกะหลาด
ป้อม,fortress; round; plump,pom,pɔ̂ːm,ความสูงชะลูดของลอมพอกไทยผิดกับผ้าโพกหัวป้อมๆ ของแขก
โผล่,emerge; appear,phlo,pʰlòː,ฉันเห็นหมาจิ้งจอกหลายตัวโผล่ออกมาจากละเมาะหลังบ้าน
